"","Name","Description","coords.x1","coords.x2","coords.x3"
"26","Bank","<div>Zone 1</div> <div>EC3V 3LA</div> <div>Latitude: 51.513347</div> <div>Longitude: -0.089</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bank"">More info</a> </div>",-0.089,51.513347,0
"27","Banstead","<div>Zone 6</div> <div>SM7 1RB</div> <div>Latitude: 51.329293</div> <div>Longitude: -0.213132</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Banstead"">More info</a> </div>",-0.213132,51.329293,0
"28","Barbican","<div>Zone 1</div> <div>EC1A 4JA</div> <div>Latitude: 51.520215</div> <div>Longitude: -0.097722</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barbican"">More info</a> </div>",-0.097722,51.520215,0
"29","Barking","<div>Zone 4</div> <div>IG11 8TU</div> <div>Latitude: 51.539521</div> <div>Longitude: 0.080832</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barking"">More info</a> </div>",0.080832,51.539521,0
"30","Barkingside","<div>Zone 4</div> <div>IG6 1NB</div> <div>Latitude: 51.585851</div> <div>Longitude: 0.088477</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barkingside"">More info</a> </div>",0.088477,51.585851,0
"31","Barnehurst","<div>Zone 6</div> <div>DA7 6HQ</div> <div>Latitude: 51.46478</div> <div>Longitude: 0.160948</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barnehurst"">More info</a> </div>",0.160948,51.46478,0
"32","Barnes","<div>Zone 3</div> <div>SW13 0LW</div> <div>Latitude: 51.467128</div> <div>Longitude: -0.242033</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barnes"">More info</a> </div>",-0.242033,51.467128,0
"33","Barnes Bridge","<div>Zone 3</div> <div>SW13 0NR</div> <div>Latitude: 51.472228</div> <div>Longitude: -0.252363</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barnes Bridge"">More info</a> </div>",-0.252363,51.472228,0
"34","Barons Court","<div>Zone 2</div> <div>W14 9DP</div> <div>Latitude: 51.490229</div> <div>Longitude: -0.21343</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Barons Court"">More info</a> </div>",-0.21343,51.490229,0
"35","Battersea Park","<div>Zone 2</div> <div>SW8 4NB</div> <div>Latitude: 51.477318</div> <div>Longitude: -0.148124</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Battersea Park"">More info</a> </div>",-0.148124,51.477318,0
"36","Bayswater","<div>Zone 1</div> <div>W2 4QH</div> <div>Latitude: 51.512111</div> <div>Longitude: -0.187902</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Bayswater"">More info</a> </div>",-0.187902,51.512111,0
"37","Beckenham Hill","<div>Zone 4</div> <div>SE6 3NU</div> <div>Latitude: 51.424626</div> <div>Longitude: -0.016496</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Beckenham Hill"">More info</a> </div>",-0.016496,51.424626,0
"38","Beckenham Junction","<div>Zone 4</div> <div>BR3 1HY</div> <div>Latitude: 51.410942</div> <div>Longitude: -0.025702</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Beckenham Junction"">More info</a> </div>",-0.025702,51.410942,0
"39","Beckenham Road","<div>Zone 3,4,5,6</div> <div>BR3 4RR</div> <div>Latitude: 51.40953</div> <div>Longitude: -0.043392</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Beckenham Road"">More info</a> </div>",-0.043392,51.40953,0
